flap_angle,kp,kd,period_s,mean_power_w,max_pitch_rad,max_tau_nm,clamp_frac,corr_tau_vel,passive_safe,no_clamp,pitch_ok,edge_ok
20,2,0.0,2.5,2.361313e-02,0.010000,0.031400,0.0000,-0.245933,1,1,1,1
20,2,0.0,3.0,6.840253e-02,0.010000,0.031400,0.0000,-0.383393,1,1,1,1
20,2,0.0,3.5,1.597161e-01,0.010000,0.031400,0.0000,-0.639021,1,1,1,1
20,2,0.0,4.01,2.284522e-01,0.010000,0.031400,0.0000,-0.799959,1,1,1,1
20,2,0.0,4.5,1.806461e-01,0.010000,0.031400,0.0000,-0.693510,1,1,1,1
20,2,0.0,5.0,1.257300e-01,0.010000,0.031400,0.0000,-0.546969,1,1,1,1
20,2,0.0,6.0,6.871128e-02,0.010000,0.031400,0.0000,-0.384304,1,1,1,1
20,2,0.5,2.5,2.219443e-02,0.010000,0.043725,0.0000,-0.245933,1,1,1,1
20,2,0.5,3.0,6.611782e-02,0.010000,0.043725,0.0000,-0.383393,1,1,1,1
20,2,0.5,3.5,1.574252e-01,0.010000,0.043725,0.0000,-0.639021,1,1,1,1
20,2,0.5,4.01,2.284068e-01,0.010000,0.043725,0.0000,-0.799999,1,1,1,1
20,2,0.5,4.5,1.786471e-01,0.010000,0.043725,0.0000,-0.695723,1,1,1,1
20,2,0.5,5.0,1.232205e-01,0.010000,0.043725,0.0000,-0.550961,1,1,1,1
20,2,0.5,6.0,6.642323e-02,0.010000,0.043725,0.0000,-0.390964,1,1,1,1
20,2,1.0,2.5,2.077573e-02,0.010000,0.056049,0.0000,-0.245933,1,1,1,1
20,2,1.0,3.0,6.383311e-02,0.010000,0.056049,0.0000,-0.383393,1,1,1,1
20,2,1.0,3.5,1.551343e-01,0.010000,0.056049,0.0000,-0.639021,1,1,1,1
20,2,1.0,4.01,2.283614e-01,0.010000,0.056049,0.0000,-0.800038,1,1,1,1
20,2,1.0,4.5,1.766480e-01,0.010000,0.056049,0.0000,-0.697936,1,1,1,1
20,2,1.0,5.0,1.207110e-01,0.010000,0.056049,0.0000,-0.554953,1,1,1,1
20,2,1.0,6.0,6.413517e-02,0.010000,0.056049,0.0000,-0.397624,1,1,1,1
20,2,2.0,2.5,1.793832e-02,0.010000,0.080698,0.0000,-0.245933,1,1,1,1
20,2,2.0,3.0,5.926369e-02,0.010000,0.080698,0.0000,-0.383393,1,1,1,1
20,2,2.0,3.5,1.505524e-01,0.010000,0.080698,0.0000,-0.639021,1,1,1,1
20,2,2.0,4.01,2.282706e-01,0.010000,0.080698,0.0000,-0.800118,1,1,1,1
20,2,2.0,4.5,1.726500e-01,0.010000,0.080698,0.0000,-0.702362,1,1,1,1
20,2,2.0,5.0,1.156920e-01,0.010000,0.080698,0.0000,-0.562937,1,1,1,1
20,2,2.0,6.0,5.955907e-02,0.010000,0.080698,0.0000,-0.410944,1,1,1,1
20,2,3.0,2.5,1.510091e-02,0.010000,0.105347,0.0000,-0.245933,1,1,1,1
20,2,3.0,3.0,5.469427e-02,0.010000,0.105347,0.0000,-0.383393,1,1,1,1
20,2,3.0,3.5,1.459706e-01,0.010000,0.105347,0.0000,-0.639021,1,1,1,1
20,2,3.0,4.01,2.281797e-01,0.010000,0.105347,0.0000,-0.800197,1,1,1,1
20,2,3.0,4.5,1.686519e-01,0.010000,0.105347,0.0000,-0.706789,1,1,1,1
20,2,3.0,5.0,1.106730e-01,0.010000,0.105347,0.0000,-0.570921,1,1,1,1
20,2,3.0,6.0,5.498296e-02,0.010000,0.105347,0.0000,-0.424264,1,1,1,1
20,3,0.0,2.5,3.067586e-02,0.010000,0.047100,0.0000,-0.245933,1,1,1,1
20,3,0.0,3.0,8.886183e-02,0.010000,0.047100,0.0000,-0.383393,1,1,1,1
20,3,0.0,3.5,2.074874e-01,0.010000,0.047100,0.0000,-0.639021,1,1,1,1
20,3,0.0,4.01,2.967826e-01,0.010000,0.047100,0.0000,-0.799840,1,1,1,1
20,3,0.0,4.5,2.346776e-01,0.010000,0.047100,0.0000,-0.686870,1,1,1,1
20,3,0.0,5.0,1.633360e-01,0.010000,0.047100,0.0000,-0.534994,1,1,1,1
20,3,0.0,6.0,8.926293e-02,0.010000,0.047100,0.0000,-0.364324,1,1,1,1
20,3,0.5,2.5,2.883282e-02,0.010000,0.059425,0.0000,-0.245933,1,1,1,1
20,3,0.5,3.0,8.589376e-02,0.010000,0.059425,0.0000,-0.383393,1,1,1,1
20,3,0.5,3.5,2.045113e-01,0.010000,0.059425,0.0000,-0.639021,1,1,1,1
20,3,0.5,4.01,2.967236e-01,0.010000,0.059425,0.0000,-0.799879,1,1,1,1
20,3,0.5,4.5,2.320807e-01,0.010000,0.059425,0.0000,-0.689083,1,1,1,1
20,3,0.5,5.0,1.600759e-01,0.010000,0.059425,0.0000,-0.538986,1,1,1,1
20,3,0.5,6.0,8.629052e-02,0.010000,0.059425,0.0000,-0.370984,1,1,1,1
20,3,1.0,2.5,2.698978e-02,0.010000,0.071749,0.0000,-0.245933,1,1,1,1
20,3,1.0,3.0,8.292569e-02,0.010000,0.071749,0.0000,-0.383393,1,1,1,1
20,3,1.0,3.5,2.015352e-01,0.010000,0.071749,0.0000,-0.639021,1,1,1,1
20,3,1.0,4.01,2.966646e-01,0.010000,0.071749,0.0000,-0.799919,1,1,1,1
20,3,1.0,4.5,2.294837e-01,0.010000,0.071749,0.0000,-0.691296,1,1,1,1
20,3,1.0,5.0,1.568158e-01,0.010000,0.071749,0.0000,-0.542978,1,1,1,1
20,3,1.0,6.0,8.331810e-02,0.010000,0.071749,0.0000,-0.377644,1,1,1,1
20,3,2.0,2.5,2.330369e-02,0.010000,0.096398,0.0000,-0.245933,1,1,1,1
20,3,2.0,3.0,7.698955e-02,0.010000,0.096398,0.0000,-0.383393,1,1,1,1
20,3,2.0,3.5,1.955829e-01,0.010000,0.096398,0.0000,-0.639021,1,1,1,1
20,3,2.0,4.01,2.965466e-01,0.010000,0.096398,0.0000,-0.799999,1,1,1,1
20,3,2.0,4.5,2.242898e-01,0.010000,0.096398,0.0000,-0.695723,1,1,1,1
20,3,2.0,5.0,1.502956e-01,0.010000,0.096398,0.0000,-0.550961,1,1,1,1
20,3,2.0,6.0,7.737328e-02,0.010000,0.096398,0.0000,-0.390964,1,1,1,1
20,3,3.0,2.5,1.961761e-02,0.010000,0.121047,0.0000,-0.245933,1,1,1,1
20,3,3.0,3.0,7.105341e-02,0.010000,0.121047,0.0000,-0.383393,1,1,1,1
20,3,3.0,3.5,1.896306e-01,0.010000,0.121047,0.0000,-0.639021,1,1,1,1
20,3,3.0,4.01,2.964286e-01,0.010000,0.121047,0.0000,-0.800078,1,1,1,1
20,3,3.0,4.5,2.190959e-01,0.010000,0.121047,0.0000,-0.700149,1,1,1,1
20,3,3.0,5.0,1.437754e-01,0.010000,0.121047,0.0000,-0.558945,1,1,1,1
20,3,3.0,6.0,7.142845e-02,0.010000,0.121047,0.0000,-0.404284,1,1,1,1
20,4,0.0,2.5,3.573652e-02,0.010000,0.062800,0.0000,-0.245933,1,1,1,1
20,4,0.0,3.0,1.035216e-01,0.010000,0.062800,0.0000,-0.383393,1,1,1,1
20,4,0.0,3.5,2.417171e-01,0.010000,0.062800,0.0000,-0.639021,1,1,1,1
20,4,0.0,4.01,3.457435e-01,0.010000,0.062800,0.0000,-0.799720,1,1,1,1
20,4,0.0,4.5,2.733929e-01,0.010000,0.062800,0.0000,-0.680230,1,1,1,1
20,4,0.0,5.0,1.902819e-01,0.010000,0.062800,0.0000,-0.523018,1,1,1,1
20,4,0.0,6.0,1.039888e-01,0.010000,0.062800,0.0000,-0.344345,1,1,1,1
20,4,0.5,2.5,3.358943e-02,0.010000,0.075125,0.0000,-0.245933,1,1,1,1
20,4,0.5,3.0,1.000638e-01,0.010000,0.075125,0.0000,-0.383393,1,1,1,1
20,4,0.5,3.5,2.382500e-01,0.010000,0.075125,0.0000,-0.639021,1,1,1,1
20,4,0.5,4.01,3.456748e-01,0.010000,0.075125,0.0000,-0.799760,1,1,1,1
20,4,0.5,4.5,2.703675e-01,0.010000,0.075125,0.0000,-0.682444,1,1,1,1
20,4,0.5,5.0,1.864840e-01,0.010000,0.075125,0.0000,-0.527010,1,1,1,1
20,4,0.5,6.0,1.005260e-01,0.010000,0.075125,0.0000,-0.351005,1,1,1,1
20,4,1.0,2.5,3.144234e-02,0.010000,0.087449,0.0000,-0.245933,1,1,1,1
20,4,1.0,3.0,9.660612e-02,0.010000,0.087449,0.0000,-0.383393,1,1,1,1
20,4,1.0,3.5,2.347828e-01,0.010000,0.087449,0.0000,-0.639021,1,1,1,1
20,4,1.0,4.01,3.456060e-01,0.010000,0.087449,0.0000,-0.799800,1,1,1,1
20,4,1.0,4.5,2.673422e-01,0.010000,0.087449,0.0000,-0.684657,1,1,1,1
20,4,1.0,5.0,1.826860e-01,0.010000,0.087449,0.0000,-0.531002,1,1,1,1
20,4,1.0,6.0,9.706327e-02,0.010000,0.087449,0.0000,-0.357664,1,1,1,1
20,4,2.0,2.5,2.714816e-02,0.010000,0.112098,0.0000,-0.245933,1,1,1,1
20,4,2.0,3.0,8.969068e-02,0.010000,0.112098,0.0000,-0.383393,1,1,1,1
20,4,2.0,3.5,2.278486e-01,0.010000,0.112098,0.0000,-0.639021,1,1,1,1
20,4,2.0,4.01,3.454686e-01,0.010000,0.112098,0.0000,-0.799879,1,1,1,1
20,4,2.0,4.5,2.612914e-01,0.010000,0.112098,0.0000,-0.689083,1,1,1,1
20,4,2.0,5.0,1.750902e-01,0.010000,0.112098,0.0000,-0.538986,1,1,1,1
20,4,2.0,6.0,9.013772e-02,0.010000,0.112098,0.0000,-0.370984,1,1,1,1
20,4,3.0,2.5,2.285397e-02,0.010000,0.136747,0.0000,-0.245933,1,1,1,1
20,4,3.0,3.0,8.277524e-02,0.010000,0.136747,0.0000,-0.383393,1,1,1,1
20,4,3.0,3.5,2.209144e-01,0.010000,0.136747,0.0000,-0.639021,1,1,1,1
20,4,3.0,4.01,3.453311e-01,0.010000,0.136747,0.0000,-0.799959,1,1,1,1
20,4,3.0,4.5,2.552407e-01,0.010000,0.136747,0.0000,-0.693510,1,1,1,1
20,4,3.0,5.0,1.674944e-01,0.010000,0.136747,0.0000,-0.546969,1,1,1,1
20,4,3.0,6.0,8.321216e-02,0.010000,0.136747,0.0000,-0.384304,1,1,1,1
20,5,0.0,2.5,3.936265e-02,0.010000,0.078500,0.0000,-0.245933,1,1,1,1
20,5,0.0,3.0,1.140257e-01,0.010000,0.078500,0.0000,-0.383393,1,1,1,1
20,5,0.0,3.5,2.662437e-01,0.010000,0.078500,0.0000,-0.639021,1,1,1,1
20,5,0.0,4.01,3.808255e-01,0.010949,0.085953,0.0000,-0.799601,1,1,1,1
20,5,0.0,4.5,3.011336e-01,0.010000,0.078500,0.0000,-0.673591,1,1,1,1
20,5,0.0,5.0,2.095895e-01,0.010000,0.078500,0.0000,-0.511042,1,1,1,1
20,5,0.0,6.0,1.145404e-01,0.010000,0.078500,0.0000,-0.324365,1,1,1,1
20,5,0.5,2.5,3.699769e-02,0.010000,0.090825,0.0000,-0.245933,1,1,1,1
20,5,0.5,3.0,1.102171e-01,0.010000,0.090825,0.0000,-0.383393,1,1,1,1
20,5,0.5,3.5,2.624248e-01,0.010000,0.090825,0.0000,-0.639021,1,1,1,1
20,5,0.5,4.01,3.807498e-01,0.010840,0.098454,0.0000,-0.799641,1,1,1,1
20,5,0.5,4.5,2.978013e-01,0.010000,0.090825,0.0000,-0.675804,1,1,1,1
20,5,0.5,5.0,2.054062e-01,0.010000,0.090825,0.0000,-0.515034,1,1,1,1
20,5,0.5,6.0,1.107263e-01,0.010000,0.090825,0.0000,-0.331025,1,1,1,1
20,5,1.0,2.5,3.463274e-02,0.010000,0.103149,0.0000,-0.245933,1,1,1,1
20,5,1.0,3.0,1.064086e-01,0.010000,0.103149,0.0000,-0.383393,1,1,1,1
20,5,1.0,3.5,2.586059e-01,0.010000,0.103149,0.0000,-0.639021,1,1,1,1
20,5,1.0,4.01,3.806741e-01,0.010730,0.110684,0.0000,-0.799681,1,1,1,1
20,5,1.0,4.5,2.944689e-01,0.010000,0.103149,0.0000,-0.678017,1,1,1,1
20,5,1.0,5.0,2.012229e-01,0.010000,0.103149,0.0000,-0.519026,1,1,1,1
20,5,1.0,6.0,1.069121e-01,0.010000,0.103149,0.0000,-0.337685,1,1,1,1
