flap_angle,kp,kd,period_s,mean_power_w,max_pitch_rad,max_tau_nm,clamp_frac,corr_tau_vel,passive_safe,no_clamp,pitch_ok,edge_ok
0,2,0.0,3.5,1.387001e-02,0.010000,0.021400,0.0000,-0.227848,1,1,1,1
0,2,0.0,4.0,2.978476e-02,0.010000,0.021400,0.0000,-0.294288,1,1,1,1
0,2,0.0,4.5,5.968119e-02,0.010000,0.021400,0.0000,-0.411295,1,1,1,1
0,2,0.0,5.0,1.075417e-01,0.010000,0.021400,0.0000,-0.587181,1,1,1,1
0,2,0.0,5.86,1.749764e-01,0.010000,0.021400,0.0000,-0.799955,1,1,1,1
0,2,0.0,6.0,1.720531e-01,0.010000,0.021400,0.0000,-0.795311,1,1,1,1
0,2,0.0,7.0,1.137919e-01,0.010000,0.021400,0.0000,-0.609243,1,1,1,1
0,2,0.5,3.5,1.292997e-02,0.010000,0.027125,0.0000,-0.227848,1,1,1,1
0,2,0.5,4.0,2.839073e-02,0.010000,0.027125,0.0000,-0.294288,1,1,1,1
0,2,0.5,4.5,5.786139e-02,0.010000,0.027125,0.0000,-0.411295,1,1,1,1
0,2,0.5,5.0,1.056658e-01,0.010000,0.027125,0.0000,-0.587181,1,1,1,1
0,2,0.5,5.86,1.749402e-01,0.010000,0.027125,0.0000,-0.799955,1,1,1,1
0,2,0.5,6.0,1.716865e-01,0.010000,0.027125,0.0000,-0.795737,1,1,1,1
0,2,0.5,7.0,1.119584e-01,0.010000,0.027125,0.0000,-0.612466,1,1,1,1
0,2,1.0,3.5,1.198992e-02,0.010000,0.032849,0.0000,-0.227848,1,1,1,1
0,2,1.0,4.0,2.699670e-02,0.010000,0.032849,0.0000,-0.294288,1,1,1,1
0,2,1.0,4.5,5.604160e-02,0.010000,0.032849,0.0000,-0.411295,1,1,1,1
0,2,1.0,5.0,1.037900e-01,0.010000,0.032849,0.0000,-0.587181,1,1,1,1
0,2,1.0,5.86,1.749040e-01,0.010000,0.032849,0.0000,-0.799955,1,1,1,1
0,2,1.0,6.0,1.713198e-01,0.010000,0.032849,0.0000,-0.796163,1,1,1,1
0,2,1.0,7.0,1.101250e-01,0.010000,0.032849,0.0000,-0.615688,1,1,1,1
0,2,2.0,3.5,1.010983e-02,0.010000,0.044298,0.0000,-0.227848,1,1,1,1
0,2,2.0,4.0,2.420865e-02,0.010000,0.044298,0.0000,-0.294288,1,1,1,1
0,2,2.0,4.5,5.240201e-02,0.010000,0.044298,0.0000,-0.411295,1,1,1,1
