flap_angle,kp,kd,period_s,mean_power_w,max_pitch_rad,max_tau_nm,clamp_frac,corr_tau_vel,passive_safe,no_clamp,pitch_ok,edge_ok
90,2,0.0,2.0,3.706405e-02,0.010000,0.042000,0.0000,-0.281680,1,1,1,1
90,2,0.0,2.5,1.354303e-01,0.010000,0.042000,0.0000,-0.551317,1,1,1,1
90,2,0.0,2.99,2.432086e-01,0.010000,0.042000,0.0000,-0.799995,1,1,1,1
90,2,0.0,3.5,1.687531e-01,0.010000,0.042000,0.0000,-0.636137,1,1,1,1
90,2,0.0,4.0,1.054704e-01,0.010000,0.042000,0.0000,-0.472408,1,1,1,1
90,2,0.0,4.5,7.241342e-02,0.010000,0.042000,0.0000,-0.382408,1,1,1,1
90,2,0.0,5.0,5.430421e-02,0.010000,0.042000,0.0000,-0.331537,1,1,1,1
90,2,0.5,2.0,3.522569e-02,0.010000,0.064050,0.0000,-0.281680,1,1,1,1
90,2,0.5,2.5,1.327651e-01,0.010000,0.064050,0.0000,-0.551317,1,1,1,1
90,2,0.5,2.99,2.431924e-01,0.010000,0.064050,0.0000,-0.799995,1,1,1,1
90,2,0.5,3.5,1.663038e-01,0.010000,0.064050,0.0000,-0.639040,1,1,1,1
90,2,0.5,4.0,1.028125e-01,0.010000,0.064050,0.0000,-0.477448,1,1,1,1
90,2,0.5,4.5,6.998675e-02,0.010000,0.064050,0.0000,-0.389110,1,1,1,1
90,2,0.5,5.0,5.212335e-02,0.010000,0.064050,0.0000,-0.339569,1,1,1,1
90,2,1.0,2.0,3.338732e-02,0.010000,0.086100,0.0000,-0.281680,1,1,1,1
90,2,1.0,2.5,1.300999e-01,0.010000,0.086100,0.0000,-0.551317,1,1,1,1
90,2,1.0,2.99,2.431762e-01,0.010000,0.086100,0.0000,-0.799995,1,1,1,1
90,2,1.0,3.5,1.638544e-01,0.010000,0.086100,0.0000,-0.641942,1,1,1,1
90,2,1.0,4.0,1.001546e-01,0.010000,0.086100,0.0000,-0.482488,1,1,1,1
90,2,1.0,4.5,6.756009e-02,0.010000,0.086100,0.0000,-0.395812,1,1,1,1
90,2,1.0,5.0,4.994248e-02,0.010000,0.086100,0.0000,-0.347601,1,1,1,1
90,2,2.0,2.0,2.971060e-02,0.010000,0.130200,0.0000,-0.281680,1,1,1,1
90,2,2.0,2.5,1.247694e-01,0.010000,0.130200,0.0000,-0.551317,1,1,1,1
90,2,2.0,2.99,2.431438e-01,0.010000,0.130200,0.0000,-0.799995,1,1,1,1
90,2,2.0,3.5,1.589557e-01,0.010000,0.130200,0.0000,-0.647748,1,1,1,1
90,2,2.0,4.0,9.483888e-02,0.010000,0.130200,0.0000,-0.492568,1,1,1,1
90,2,2.0,4.5,6.270675e-02,0.010000,0.130200,0.0000,-0.409217,1,1,1,1
90,2,2.0,5.0,4.558075e-02,0.010000,0.130200,0.0000,-0.363665,1,1,1,1
90,2,3.0,2.0,2.603387e-02,0.010000,0.174300,0.0000,-0.281680,1,1,1,1
90,2,3.0,2.5,1.194389e-01,0.010000,0.174300,0.0000,-0.551317,1,1,1,1
90,2,3.0,2.99,2.431114e-01,0.010000,0.174300,0.0000,-0.799995,1,1,1,1
90,2,3.0,3.5,1.540570e-01,0.010000,0.174300,0.0000,-0.653554,1,1,1,1
90,2,3.0,4.0,8.952314e-02,0.010000,0.174300,0.0000,-0.502648,1,1,1,1
90,2,3.0,4.5,5.785342e-02,0.010000,0.174300,0.0000,-0.422621,1,1,1,1
90,2,3.0,5.0,4.121902e-02,0.010000,0.174300,0.0000,-0.379729,1,1,1,1
90,3,0.0,2.0,4.814997e-02,0.010000,0.063000,0.0000,-0.281680,1,1,1,1
90,3,0.0,2.5,1.759377e-01,0.010000,0.063000,0.0000,-0.551317,1,1,1,1
90,3,0.0,2.99,3.159527e-01,0.011062,0.069691,0.0000,-0.799995,1,1,1,1
90,3,0.0,3.5,2.192275e-01,0.010000,0.063000,0.0000,-0.627428,1,1,1,1
90,3,0.0,4.0,1.370167e-01,0.010000,0.063000,0.0000,-0.457288,1,1,1,1
90,3,0.0,4.5,9.407238e-02,0.010000,0.063000,0.0000,-0.362301,1,1,1,1
90,3,0.0,5.0,7.054669e-02,0.010000,0.063000,0.0000,-0.307441,1,1,1,1
90,3,0.5,2.0,4.576174e-02,0.010000,0.085050,0.0000,-0.281680,1,1,1,1
90,3,0.5,2.5,1.724753e-01,0.010000,0.085050,0.0000,-0.551317,1,1,1,1
90,3,0.5,2.99,3.159316e-01,0.010951,0.093142,0.0000,-0.799995,1,1,1,1
90,3,0.5,3.5,2.160455e-01,0.010000,0.085050,0.0000,-0.630331,1,1,1,1
90,3,0.5,4.0,1.335639e-01,0.010000,0.085050,0.0000,-0.462328,1,1,1,1
90,3,0.5,4.5,9.091989e-02,0.010000,0.085050,0.0000,-0.369003,1,1,1,1
90,3,0.5,5.0,6.771352e-02,0.010000,0.085050,0.0000,-0.315473,1,1,1,1
90,3,1.0,2.0,4.337352e-02,0.010000,0.107100,0.0000,-0.281680,1,1,1,1
90,3,1.0,2.5,1.690129e-01,0.010000,0.107100,0.0000,-0.551317,1,1,1,1
90,3,1.0,2.99,3.159106e-01,0.010841,0.116105,0.0000,-0.799995,1,1,1,1
90,3,1.0,3.5,2.128635e-01,0.010000,0.107100,0.0000,-0.633234,1,1,1,1
90,3,1.0,4.0,1.301110e-01,0.010000,0.107100,0.0000,-0.467368,1,1,1,1
90,3,1.0,4.5,8.776741e-02,0.010000,0.107100,0.0000,-0.375706,1,1,1,1
90,3,1.0,5.0,6.488036e-02,0.010000,0.107100,0.0000,-0.323505,1,1,1,1
90,3,2.0,2.0,3.859708e-02,0.010000,0.151200,0.0000,-0.281680,1,1,1,1
90,3,2.0,2.5,1.620881e-01,0.010000,0.151200,0.0000,-0.551317,1,1,1,1
90,3,2.0,2.99,3.158685e-01,0.010620,0.160568,0.0000,-0.799995,1,1,1,1
90,3,2.0,3.5,2.064996e-01,0.010000,0.151200,0.0000,-0.639040,1,1,1,1
90,3,2.0,4.0,1.232053e-01,0.010000,0.151200,0.0000,-0.477448,1,1,1,1
90,3,2.0,4.5,8.146244e-02,0.010000,0.151200,0.0000,-0.389110,1,1,1,1
90,3,2.0,5.0,5.921403e-02,0.010000,0.151200,0.0000,-0.339569,1,1,1,1
90,3,3.0,2.0,3.382064e-02,0.010000,0.195300,0.0000,-0.281680,1,1,1,1
90,3,3.0,2.5,1.551633e-01,0.010000,0.195300,0.0000,-0.551317,1,1,1,1
90,3,3.0,2.99,3.158263e-01,0.010398,0.203079,0.0000,-0.799995,1,1,1,1
90,3,3.0,3.5,2.001356e-01,0.010000,0.195300,0.0000,-0.644845,1,1,1,1
90,3,3.0,4.0,1.162996e-01,0.010000,0.195300,0.0000,-0.487528,1,1,1,1
90,3,3.0,4.5,7.515747e-02,0.010000,0.195300,0.0000,-0.402515,1,1,1,1
90,3,3.0,5.0,5.354770e-02,0.010000,0.195300,0.0000,-0.355633,1,1,1,1
90,4,0.0,2.0,5.609337e-02,0.010000,0.084000,0.0000,-0.281680,1,1,1,1
90,4,0.0,2.5,2.049626e-01,0.010000,0.084000,0.0000,-0.551317,1,1,1,1
90,4,0.0,2.99,3.680761e-01,0.012887,0.108250,0.0000,-0.799995,1,1,1,1
90,4,0.0,3.5,2.553939e-01,0.010000,0.084000,0.0000,-0.618719,1,1,1,1
90,4,0.0,4.0,1.596207e-01,0.010000,0.084000,0.0000,-0.442168,1,1,1,1
90,4,0.0,4.5,1.095917e-01,0.010000,0.084000,0.0000,-0.342194,1,1,1,1
90,4,0.0,5.0,8.218493e-02,0.010000,0.084000,0.0000,-0.283345,1,1,1,1
90,4,0.5,2.0,5.331116e-02,0.010000,0.106050,0.0000,-0.281680,1,1,1,1
90,4,0.5,2.5,2.009289e-01,0.010000,0.106050,0.0000,-0.551317,1,1,1,1
